,A,B
10,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",MILK
11,MILK,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
12,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",ICE CREAM/SHERBET
13,ICE CREAM/SHERBET,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
14,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FZ DINNERS/ENTREES
15,FZ DINNERS/ENTREES,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
16,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FRESH BREAD & ROLLS
17,FRESH BREAD & ROLLS,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
18,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CRACKERS
19,CRACKERS,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
20,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COLD CEREAL
21,COLD CEREAL,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
22,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COFFEE
23,COFFEE,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
24,"BEER/ALE/ALCOHOLIC CIDER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CARBONATED BEVERAGES
25,CARBONATED BEVERAGES,"BEER/ALE/ALCOHOLIC CIDER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
26,"CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BEER/ALE/ALCOHOLIC CIDER
27,BEER/ALE/ALCOHOLIC CIDER,"CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
392,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE",YOGURT
393,YOGURT,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE"
394,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT",WINE
395,WINE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT"
396,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT",SALTY SNACKS
397,SALTY SNACKS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT"
398,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT",RFG FRESH EGGS
399,RFG FRESH EGGS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT"
400,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",NATURAL CHEESE
401,NATURAL CHEESE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
402,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",MILK
403,MILK,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
404,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",ICE CREAM/SHERBET
405,ICE CREAM/SHERBET,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
406,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FZ DINNERS/ENTREES
407,FZ DINNERS/ENTREES,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
408,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FRESH BREAD & ROLLS
409,FRESH BREAD & ROLLS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
410,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CRACKERS
411,CRACKERS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
412,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COFFEE
413,COFFEE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
414,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CARBONATED BEVERAGES
415,CARBONATED BEVERAGES,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
416,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BOTTLED WATER
417,BOTTLED WATER,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
418,"BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BEER/ALE/ALCOHOLIC CIDER
419,BEER/ALE/ALCOHOLIC CIDER,"BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
784,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE",YOGURT
785,YOGURT,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE"
786,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT",WINE
787,WINE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT"
788,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT",SALTY SNACKS
789,SALTY SNACKS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT"
790,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT",RFG FRESH EGGS
791,RFG FRESH EGGS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, SALTY SNACKS, WINE, YOGURT"
792,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",NATURAL CHEESE
793,NATURAL CHEESE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
794,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",ICE CREAM/SHERBET
795,ICE CREAM/SHERBET,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
796,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FZ DINNERS/ENTREES
797,FZ DINNERS/ENTREES,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
798,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",FRESH BREAD & ROLLS
799,FRESH BREAD & ROLLS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
800,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CRACKERS
801,CRACKERS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
802,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COLD CEREAL
803,COLD CEREAL,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
804,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",COFFEE
805,COFFEE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, CARBONATED BEVERAGES, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
806,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",CARBONATED BEVERAGES
807,CARBONATED BEVERAGES,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
808,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BOTTLED WATER
809,BOTTLED WATER,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
810,"BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT",BEER/ALE/ALCOHOLIC CIDER
811,BEER/ALE/ALCOHOLIC CIDER,"BOTTLED WATER, CARBONATED BEVERAGES, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE, YOGURT"
1176,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE",YOGURT
1177,YOGURT,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, WINE"
1178,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT",WINE
1179,WINE,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, SALTY SNACKS, YOGURT"
1180,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT",SALTY SNACKS
1181,SALTY SNACKS,"BEER/ALE/ALCOHOLIC CIDER, BOTTLED WATER, COFFEE, COLD CEREAL, CRACKERS, FRESH BREAD & ROLLS, FZ DINNERS/ENTREES, ICE CREAM/SHERBET, MILK, NATURAL CHEESE, RFG FRESH EGGS, WINE, YOGURT"
